Year,Week,Age,Gender,R-value,1rst_Vac,2nd_Vac,Booster,Intensive_Care,Cases,Deaths,Incidence,Hospitalization,Lockdown-Intensity,Date
2021.0,6.0,44.314863671510906,0.4854491217436038,1.03,2.9582691586966012,1.913323325227686,0.0,3342.0,9240.0,230.28571428571428,61.54873646209386,7298.666666666666,3,2021-02-16
2021.0,6.0,44.18450737007879,0.48658757739871367,1.05,3.073048204372262,1.9812019314252494,0.0,3239.0,9998.0,225.57142857142858,61.2129963898917,7150.095238095238,3,2021-02-17
2021.0,7.0,44.041650227221645,0.4876710061244834,1.06,3.183161024421177,2.045320129963827,0.0,3169.0,9225.0,216.14285714285714,61.05415162454874,7020.952380952382,3,2021-02-18
2021.0,7.0,43.91129392578954,0.488711533636395,1.07,3.3072472594946536,2.112584031006642,0.0,3114.0,8720.0,211.57142857142858,61.27797833935018,6953.333333333334,3,2021-02-19
2021.0,7.0,43.780937624357435,0.48970915993444863,1.06,3.3988792276993602,2.1562810265961025,0.0,3068.0,7783.0,210.85714285714286,63.90854392298436,6899.047619047618,3,2021-02-20
2021.0,7.0,43.65058132292533,0.4906638850186441,1.05,3.4683048218206136,2.1903279933178785,0.0,3049.0,3037.0,209.57142857142858,63.037304452466906,6898.190476190476,3,2021-02-21
2021.0,7.0,43.520225021493225,0.49157570888898144,1.04,3.586545944669198,2.2605367049650433,0.0,3053.0,4402.0,207.85714285714286,63.06257521058965,6883.047619047619,3,2021-02-22
2021.0,7.0,43.38986872006111,0.4924446315454607,1.02,3.7188591240740254,2.3334027232400714,0.0,3030.0,10184.0,197.42857142857142,64.1985559566787,6873.619047619048,3,2021-02-23
2021.0,7.0,43.25951241862901,0.49327065298808176,1.01,3.860313486396521,2.4049046013086723,0.0,2950.0,11290.0,191.14285714285714,65.75330926594465,6846.666666666667,3,2021-02-24
2021.0,8.0,42.97379813291472,0.4940537732168448,1.01,4.0178259683094835,2.476284981880934,0.0,2891.0,9914.0,185.42857142857142,66.58243080625752,6834.380952380952,3,2021-02-25
2021.0,8.0,42.843441831482615,0.49492297154004067,1.0,4.193943205454011,2.5576498101721916,0.0,2841.0,9451.0,180.0,67.46209386281589,6801.714285714285,3,2021-02-26
2021.0,8.0,42.7130855300505,0.4958782479576693,1.0,4.324211377494706,2.6055414767491385,0.0,2820.0,7654.0,176.28571428571428,67.30685920577618,6775.904761904762,3,2021-02-27
2021.0,8.0,42.582729228618405,0.49691960246973077,1.02,4.419584506230265,2.6346443374317485,0.0,2834.0,3451.0,172.85714285714286,67.80505415162455,6717.714285714285,3,2021-02-28
2021.0,8.0,42.452372927186296,0.49804703507622505,1.02,4.599251635569824,2.694808454084502,0.0,2862.0,4679.0,170.14285714285714,68.13838748495789,6659.714285714285,3,2021-03-01
2021.0,8.0,42.322016625754195,0.4992605457771521,1.04,4.801233404088584,2.75766476278486,0.0,2849.0,10953.0,166.85714285714286,69.06377858002406,6595.809523809524,3,2021-03-02
2021.0,8.0,42.19166032432208,0.5005601345725121,1.05,5.015047344627107,2.842817666481794,0.0,2816.0,11302.0,158.28571428571428,69.07821901323706,6534.095238095238,1,2021-03-03
2021.0,9.0,41.905946038607794,0.5019458014623048,1.06,5.234642641278582,2.919015843814848,0.0,2805.0,10121.0,153.57142857142858,69.32731648616125,6454.857142857143,1,2021-03-04
2021.0,9.0,41.775589737175686,0.5030434451175877,1.08,5.485067025417096,3.000150909514018,0.0,2756.0,9660.0,147.57142857142858,69.57882069795427,6371.047619047618,1,2021-03-05
2021.0,9.0,41.645233435743584,0.5038530655383605,1.1,5.670445740030123,3.058782473589181,0.0,2746.0,8293.0,147.85714285714286,70.34777376654633,6279.809523809524,1,2021-03-06
2021.0,9.0,41.514877134311476,0.5043746627246234,1.12,5.8080133854152605,3.099108815864349,0.0,2779.0,3364.0,149.14285714285714,70.2430806257521,6196.380952380952,1,2021-03-07
2021.0,9.0,41.384520832879375,0.5046082366763766,1.14,6.032256863510856,3.161504396435023,0.0,2857.0,4835.0,145.42857142857142,70.43080625752106,6119.619047619048,1,2021-03-08
2021.0,9.0,41.254164531447266,0.5045537873936196,1.15,6.27047495957652,3.2276230933539245,0.0,2776.0,11494.0,143.0,71.08182912154031,6040.7619047619055,1,2021-03-09
2021.0,9.0,41.123808230015165,0.5042113148763527,1.17,6.5380906379743315,3.3087713914536856,0.0,2727.0,13986.0,148.42857142857142,74.31167268351383,5975.619047619048,1,2021-03-10
2021.0,10.0,40.98095108715802,0.503580819124576,1.17,6.807772976755424,3.382105355531447,0.0,2748.0,13145.0,152.85714285714286,77.95066185318893,5937.523809523809,1,2021-03-11
2021.0,10.0,40.85059478572591,0.5030803713111897,1.17,7.116392255749584,3.4676576371371413,0.0,2747.0,12533.0,157.57142857142858,81.40794223826715,5952.0,1,2021-03-12
2021.0,10.0,40.7202384842938,0.5027099714361939,1.17,7.346008088485304,3.5282776701375456,0.0,2713.0,10476.0,156.57142857142858,84.03489771359807,5996.190476190476,1,2021-03-13
2021.0,10.0,40.58988218286169,0.5024696194995886,1.17,7.508104995730446,3.571221621838802,0.0,2767.0,4840.0,155.57142857142858,85.81107099879664,6063.238095238096,1,2021-03-14
2021.0,10.0,40.45952588142959,0.5023593155013738,1.17,7.736208725962217,3.6425659140458144,0.0,2825.0,6822.0,157.28571428571428,88.20216606498195,6154.47619047619,1,2021-03-15
